Katsesõna;Mudel;Definitsioon;Hinnang;Kommentaar
personal;Llama-4-Maverick-17B-128E-Instruct;asutuse, ettevõtte vms koosseis, töötajad, töölised;4;
personal;Claude 3.5 Sonnet;"asutuse või ettevõtte koosseisulised töötajad, kes täidavad seal ametikohustusi; töötajaskond";3;kes täidavad seal ametikohustusi' on ebaoluline info, sest töötajad ju seda teevadki
personal;Claude 3 Opus;isiklik, isikuga seotud, isikule kuuluv või teda puudutav;1;seletab ingliskeelset tähendust
personal;Gmeini 2.0 Flash;"mingi organisatsiooni või ettevõtte töötajate koosseis; kaadrikoosseis.";4;
perspektiivitu;Gmeini 2.0 Flash;"tulevikuväljavaadeteta, lootusetu; arengu- või edenemisvõimaluseta";4;
perspektiivitu;GPT-4o;tulevikuväljavaadeteta, edasise arengu või eduvõimalusteta, lootusetu või sihitu olukord või seisund;4;
perspektiivitu;GPT-4.1;"ilma arengu-, edu- või tulevikuvõimaluseta; lootusetu";4;
pesto;Claude 3.7 Sonnet;basiilikust, küüslaugust, parmesanist, männiseemnetest ja oliiviõlist valmistatud pastataoline kaste, mida kasutatakse pastaroogade maitsestamiseks või leivakattena;3;pastataoline kaste' tuleks ümbersõnastada
pesto;Gemini 1.5 Pro;Itaaliast pärit kaste, mis on tavaliselt valmistatud basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist.;3;männipähkel on õige nimetus?
pesto;GPT-4.1;paks, tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust valmistatud külm kaste või määre;3;lisaks, et pastakaste ja Itaaliast pärit
pesto;o4-mini;Itaalia päritolu roheline kaste, mis koosneb peenestatud basiilikulehtedest, küüslaugust, piniaseemnetest, Parmesani juustust ja oliiviõlist;3;piniaseemned võiks olla seedermänniseemned või siis piinia?
summaarne;Llama-4-Maverick-17B-128E-Instruct;kõiki osi, hulka või kogust kokku haarav, kokkuvõtlik, üldine;4;
summaarne;Claude 3.7 Sonnet;"kõiki osi või üksikasju kokku võttev, koondav; kogu hulka, kogumit või tervikut hõlmav";4;
summaarne;Claude 3 Opus;kogusummat, üldkogust, tervikut hõlmav või väljendav, kokkuvõtlik, summariseeriv;4;
transport;Llama-4-Maverick-17B-128E-Instruct;"inimeste või kaupade vedu, edasitoimetamine; selleks kasutatavad vahendid (sõidukid, teed vms)";4;
transport;Claude 3 Opus;inimeste, kaupade või loomade ühest kohast teise toimetamine selleks ettenähtud sõidukite abil;4;
transs;Claude 3.5 Sonnet;teadvuse muutunud seisund, milles inimene on välismaailmast osaliselt või täielikult eraldunud ning keskendunud oma sisemaailmale;4;
transs;Claude 3.7 Sonnet;"teadvuse muutunud seisund, milles inimene on eraldunud tavapärasest reaalsustajust, olles sügavalt keskendunud või mõjutatud välisest stiimulust (nt muusikast, rütmist, meditatsioonist); ka selline seisund, mille tekitab šamaan või meedium üleloomulike jõududega suhtlemiseks";3;lühendaks, väiksed keelevead
transs;o3;muutunud, sügavalt keskendunud teadvusseisund, kus välisärritajad tajutakse ähmaselt ja tähelepanu koondub sisemistele kogemustele või hüpnootilisele mõjutusele;4;
akne;EuroLLM-9b-instruct;Akne on nahahaigus, mille tunnused on komedoonid (mustad täpid ja valged punktid), punased sõlmed ja mädavillid. See tekib tavaliselt puberteedieas, kui rasunäärmed toodavad rohkem rasu, mis ummistab poorid ja põhjustab põletikku ning infektsiooni. Akne võib olla põhjustatud mitmetest teguritest, sealhulgas geneetiline eelsoodumus, hormonaalsed muutused, toitumine, stress või muud põhjused. Akne on levinud nahahaigus, mida saab ravida erinevate meetoditega, nagu näiteks ravimite kasutamine, kosmeetilised protseduurid ja muud.;2;liiga pikk ja detailne
akne;Llama-4-Maverick-17B-128E-Instruct;tavaliselt puberteedieas nahka, harvemini teisi elundeid haarav krooniline põletikuline nahahaigus, mis väljendub komedone (mustpeade), punetavate sõlmekeste, mädakoldeid sisaldavate põletikunärude ja armide tekkes;2;pikk, keelevigadega
akne;Claude 3.5 Sonnet;noorukieas nahale, eriti näole tekkiv põletikuline haigusseisund, mis avaldub punaste muhukeste ja vistrike näol;4;
akne;Gemini 1.5 Pro;nahal, eriti näol, seljal ja rinnal esinev põletikuline haigus, mille korral ummistuvad rasunäärmed ja tekivad vistrikud.;4;
akne;GPT-4o;nahahaigus, mida iseloomustavad põletikulised ja mittepõletikulised vistrikud, tavaliselt näol, seljal ja rinnal, sageli seotud rasunäärmete talitlushäiretega;4;
akne;GPT-4.1;nahahaigus, mille korral rasunäärmed ja karvafolliikulid ummistuvad ning tekivad vistrikud, komedoonid ja põletikulised sõlmed;4;
akne;o4-mini;naha haigus, mida iseloomustab rasunäärmete ummistumine ja põletik, põhjustades vistrike, komedoonide ja mädasõlmede teket;3;mõned keelevead
aktiivsüsi;EuroLLM-9b-instruct;Aktiivsüsi on süsinikmaterjal, mis sisaldab suurt hulka poore. Neid auke kasutatakse adsorptsiooniks - protsessiks, mille käigus aine seob ennast aktiivsöega ja eemaldatakse keskkonnast. Aktiivsütt kasutatakse tavaliselt kahjulike ainete filtreerimiseks, näiteks toiduainetes või õhufiltrides. See on ka populaarne vahend toksiinide eemaldamiseks kehast ja seedetraktis.;3;liiga pikk
aktiivsüsi;Llama-4-Maverick-17B-128E-Instruct;suure eripinnaga käsitletud süsi, mida kasutatakse absorbendina gaaside või vedelike puhastamisel või värvainete eraldamisel lahustitest;3;natuke keeruline, nt absorbent
aktiivsüsi;Claude 3.5 Sonnet;suure poorsusega süsinikurikas aine, mida kasutatakse mürgiste või kahjulike ainete filtreerimiseks ja sidumiseks;4;
aktiivsüsi;Gemini 2.5 Pro Preview;suure adsorbeerimisvõimega poorne süsi;3;tahaks natuke sisukamalt
aktiivsüsi;GPT-4.1;poorne ja väga suure pindalaga süsi, mida kasutatakse peamiselt ainete, eriti gaaside ja vedelike puhastamiseks ning filtreerimiseks;4;
aktiivsüsi;o3;kõrge poorsuse ja väga suure adsorbeerimisvõimega, spetsiaalselt töödeldud süsi, mida kasutatakse gaaside ja vedelike puhastamiseks ning mürkainete sidumiseks;3;ei kasutaks võõrsõnu
aktsent;Gemini 1.5 Pro;"häälduse eripära, rõhk silbil, sõnal või sõnaosal, mis eristab seda teistest; rõhuasetus, esiletõstmine";4;
aktsent;o3;iseloomulik hääldus- ja rõhuviis, mis viitab kõneleja keele- või murdelisele päritolule, ühtlasi silbi või sõna esiletõstmiseks kasutatav hääle- või kirjamärk;4;
debatt;Llama-4-Maverick-17B-128E-Instruct;avalik vaidlus või arutelu, kus osapooled esitavad oma seisukohti ja argumente mõne küsimuse või probleemi kohta, sageli avalikus või ametlikus keskkonnas;4;
debatt;Claude 3.7 Sonnet;avalik arutelu, kus erinevate seisukohtadega osalejad esitavad oma argumente mingi küsimuse või probleemi kohta;4;
debatt;Claude 3 Opus;avalik vaidlus, milles osalejad esitavad mingis küsimuses oma seisukohti ja argumente ning püüavad üksteist ümber veenda;4;
debatt;Gemini 1.5 Pro;avalik arutelu mingil kindlal teemal, kus osalejad esitavad oma seisukohti ja argumente, sageli eesmärgiga jõuda ühisele lahendusele või veenda publikut.;4;
debatt;Gmeini 2.0 Flash;avalik arutelu, väitlus kindlaksmääratud reeglite järgi, kus osalejad püüavad oma seisukohti argumentidega kaitsta ja teisi veenda;4;
debatt;GPT-4o;avalik arutelu või vaidlus, kus osalejad esitavad ja kaitsevad oma seisukohti teatud teemal, eesmärgiga jõuda selgusele või veenda teisi oma vaatenurgas;4;
deegu;EuroLLM-9b-instruct;Deeg on väikeste mõõtmetega loom, kes kuulub näriliste hulka. See on levinud kogu maailmas ja seda peetakse lemmikloomana või lemmiklinnuna. Deed saavad hästi kohaneda erinevate keskkondadega ja neid hoitakse tavaliselt puuris või akvaariumis. Deed võivad olla erinevat värvi ja kuju, kuid neil on üldiselt sarnased tunnused, nagu näiteks pikk saba ja suured kõrvad. Neid peetakse sõbralikeks loomadeks, kes suudavad hästi kohaneda inimestega ja õppida trikke tegema. Deege saab toita mitmesuguste toiduainetega, sealhulgas teravilja, puu- ja köögiviljadega.;1;pikk ja keeleliselt vigane
deegu;Claude 3.5 Sonnet;Lõuna-Ameerika päritolu väike näriline, kes on kasvult hamstri ja merisea vahepealne, hallikas-pruuni karvaga ning pika koheva sabaga lemmikloom;4;
deegu;Claude 3.7 Sonnet;Tšiilist pärit väike näriline, kes on hallikas-pruunikat värvi, pika saba ja suurte kõrvadega ning keda peetakse lemmikloomana;4;
deegu;GPT-4o;väike näriline, kes kuulub okassaba-deegude sugukonda, tuntud oma sotsiaalse käitumise ja aktiivsuse poolest, sageli peetav lemmikloomana.;3;liiga detailne
deegu;GPT-4.1;Lõuna-Ameerikast pärit väike näriline, keda sageli peetakse lemmikloomana;4;
defekt;EuroLLM-9b-instruct;Defekt on viga või puudus, mis võib esineda materjalis, toote disainis või funktsioonis. See võib olla põhjustatud erinevatest teguritest, nagu näiteks tootmisprotsessi kõrvalekalded, kasutusvead või muud põhjused. Defekti saab tuvastada visuaalselt või spetsiaalsete testide abil. Sõltuvalt defekti raskusastmest ja tüübist võib seda parandada või asendada. Defektid võivad olla ohtlikud, kui need ei ole õigesti tuvastatud ja parandatud, näiteks tööstuslike seadmete või sõidukite puhul.;2;liiga pikk
defekt;Claude 3.5 Sonnet;puudus, viga või rike eseme, seadme või organismi normaalses seisundis või toimimises;4;
defekt;Claude 3 Opus;toote, detaili, materjali vms viga või puudus, mis takistab selle kasutamist ettenähtud otstarbel või vähendab selle töökindlust ja vastupidavust;4;
defekt;Gemini 1.5 Pro;vigane koht, viga, puudus, rike;4;
filosofeerima;Claude 3.5 Sonnet;mõtisklema ja arutlema üldiste eluliste või abstraktsete küsimuste üle, sageli teoreetiliselt ja süvitsi minnes;4;
filosofeerima;Claude 3 Opus;mõtisklema, arutlema või targutama elulistel, sageli sügavamõttelistel teemadel, püüdes jõuda asjade ja nähtuste olemuseni;4;
filosofeerima;Gemini 1.5 Pro;eluliste küsimuste, näiteks maailma olemuse, teadmiste, väärtuste, mõtlemise jms üle sügavuti ja üldistavalt mõtisklema, arutlema;4;
huligaan;Gmeini 2.0 Flash;avalikku korda jämedalt rikkuv, teisi inimesi ähvardav ja kahjustav isik;3;lisaks, et ta teeb seda tahtlikult
huligaan;GPT-4o;isik, kes käitub avalikus kohas häirivalt, korda rikkudes või vägivaldselt, sageli teistele kahju tekitades või neid ohustades;3;lisaks, et ta teeb seda tahtlikult
huligaan;GPT-4.1;inimene, kes käitub tahtlikult pahatahtlikult, häirivalt või vägivaldselt, rikub avalikku korda ja tekitab teistele kahju või ebamugavust;4;
huligaan;o4-mini;avalikus kohas lärmi, vägivalda või korratust tekitav isik;3;lisaks, et ta teeb seda tahtlikult
kasutajaskond;EuroLLM-9b-instruct;"Rühm inimesi, kes kasutavad või on huvitatud mingist konkreetsest teenusest, tootest või platvormist. Näitena ""Google'i kasutajaskond"" viitab inimestele, kes kasutavad Google'i tooteid ja teenuseid.";3;
kasutajaskond;Claude 3.5 Sonnet;mingi toote, teenuse, süsteemi või keskkonna tarbijate või rakendajate kogum;2;
kasutajaskond;Claude 3.7 Sonnet;mingi toote, teenuse, süsteemi vms kasutajate kogum või rühm;2;
peoloom;EuroLLM-9b-instruct;Inimene, kes armastab pidutseda ja osaleda erinevatel üritustel koos sõpradega. Peoloom on tavaliselt seltskondlik ja hea suhtleja, kellel on palju sõpru ning ta naudib pidude nautimist.;2;
peoloom;Llama-4-Maverick-17B-128E-Instruct;seltskondlikult aktiivne, pidudel teiste lõbustamiseks nalja ja lõbu pärast erinevaid tegevusi tegev inimene;3;
peoloom;Claude 3.7 Sonnet;inimene, kes armastab pidutseda, on seltskonnas aktiivne, lõbus ja energiline, sageli pidude keskpunkt;3;
peoloom;Gmeini 2.0 Flash;inimene, kes naudib väga pidudel käimist ja on seal alati aktiivne ning lõbus;4;
pesakond;Claude 3.5 Sonnet;"ühest pesakonnast sündinud või koorunud järglased; samasse pessa kuuluvad linnupojad, loomapojad vm järglased";3;
pesakond;Gmeini 2.0 Flash;ühekorraga ilmale toodud loomapojad (enamasti imetajatel ja lindudel);2;
pesakond;GPT-4o;lindude, loomade vm järglaste rühm, kes on sündinud samal ajal ja keda kasvatatakse koos ühe vanemapaariga;3;
pesakond;o4-mini;samal ajal koorunud või sündinud lindude või loomade poegade rühm;4;
suitsetama;Claude 3.7 Sonnet;tubakat, kanepit vm taimset ainet põletades tekkivat suitsu sisse hingama, tavaliselt naudingu saamiseks või harjumusest;3;
suitsetama;Gemini 2.5 Pro Preview;põlevast ainest (hrl tubakast) suitsu suhu ja kopsudesse tõmbama;3;
suitsetama;GPT-4o;tubakat või muid suitsetatavaid aineid sigareti, sigari, piibu vm kaudu sisse hingama ja välja puhuma;2;
suitsetama;o3;suitsevast tubakast või muust põlevast ainest tekkivat suitsu sisse hingates tarvitama ja välja puhuma;2;
sugupuu;EuroLLM-9b-instruct;Sugupuust saab lugeda inimese või looma esivanemate kohta. See näitab, kuidas inimesed on seotud omavahel ning oma vanemate ja vanavanematega. Näiteks võib sugupuu sisaldada teavet inimeste sünni- ja surmadaatumite, nende elukohtade ja ametite kohta.;3;rõhub skemaatilisele esitusele
sugupuu;Claude 3.5 Sonnet;skemaatiline joonis või kirjalik ülevaade, mis näitab perekonnaliikmete omavahelisi sugulussuhteid ja põlvnemist läbi mitme põlvkonna;3;rõhub skemaatilisele esitusele
sugupuu;Gmeini 2.0 Flash;perekonna põlvnemise skeem, esivanemate ja järeltulijate järjestikune loetelu;3;rõhub skemaatilisele esitusele
sugupuu;o4-mini;perekonna sugulussuhete skeem, mis kujutab eri põlvkondade kaupa pärilussidemeid;3;rõhub skemaatilisele esitusele
kategooriline;Claude 3.5 Sonnet;kindel, otsustav, tingimusteta ja vastuväiteid mittesalliv, kompromissitu;4;
kategooriline;Gemini 2.5 Pro Preview;tingimusteta, kindel;4;
kategooriline;GPT-4o;"kindel, tingimusteta, järeleandmatu; midagi kindlalt väitma või nõudma, ilma kahtluste või eranditeta";2;
kategooriline;o3;igasugust kõhklust või erandit välistavalt kindel ja lõplik, tingimusteta (nt eituse, otsuse või väite puhul);3;
personal;Claude 3.5 Sonnet;"asutuse või ettevõtte koosseisulised töötajad, kes täidavad seal ametikohustusi; töötajaskond";4;
personal;Claude 3 Opus;isiklik, isikuga seotud, isikule kuuluv või teda puudutav;1;
personal;Gemini 1.5 Pro;asutuse, ettevõtte või organisatsiooni kõik töötajad kokku;4;
personal;Gmeini 2.0 Flash;"mingi organisatsiooni või ettevõtte töötajate koosseis; kaadrikoosseis.";4;
personal;o3;mingis asutuses, ettevõttes või organisatsioonis töötavate inimeste kogum, töötajaskond;4;
perspektiivitu;Llama-4-Maverick-17B-128E-Instruct;tulevikuväljavaateid mitteomav, lootusetu, edutuna näiv;4;
perspektiivitu;Claude 3.5 Sonnet;tulevikuvõimalusi, edasimineku- või arenemisvõimalusi mittepakkuv, lootusetu;4;
perspektiivitu;Gmeini 2.0 Flash;"tulevikuväljavaadeteta, lootusetu; arengu- või edenemisvõimaluseta";4;
perspektiivitu;o3;"ÜSi definitsioon - ilma tuleviku- ja arenguväljavaadeteta, edulootuseta; lootusetu, väljavaateta";4;mainib ÜS-i
pesto;Llama-4-Maverick-17B-128E-Instruct;basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist valmistatud püree või pasta Itaalia päritolu kaste toitude maitsestamiseks;2;
pesto;Gemini 1.5 Pro;Itaaliast pärit kaste, mis on tavaliselt valmistatud basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist.;4;
summaarne;EuroLLM-9b-instruct;Summaarne tähendab lühikokkuvõtet või kokkuvõtlikku ülevaadet mingist teemast, sündmusest või olukorrast. See võib viidata sellele, et andmeid on esitatud lihtsustatud ja kiire vormis, ilma üksikasjadeta. Näiteks võib öelda, et aruanne on tehtud summaariliselt, kui see sisaldab ainult peamisi fakte ja mõjutusi, kuid mitte kõiki üksikasju.;2;
summaarne;Gmeini 2.0 Flash;kokkuvõtlik, üldistav, peamisi punkte esile toov;4;
summaarne;Gemini 2.5 Pro Preview;"Kogusummat esitav või moodustav; koond-; üld-";2;
summaarne;o4-mini;"mitme osa või näitaja summana moodustuv või nii esitatud; kokkuvõtlikult kogu hulka või üldpilti näitav";4;
transport;EuroLLM-9b-instruct;Transport viitab inimeste või kaupade vedamisele ühest kohast teise. See hõlmab mitmesuguseid transpordiliike, nagu autotransport, rongitransport, õhutransport, veetransport ja muud. Transporti kasutatakse tavaliselt selleks, et inimesed saaksid liikuda ühest punktist teise või et kaubad jõuaksid sihtkohta.;2;
transport;Llama-4-Maverick-17B-128E-Instruct;"inimeste või kaupade vedu, edasitoimetamine; selleks kasutatavad vahendid (sõidukid, teed vms)";4;
transport;Claude 3.5 Sonnet;inimeste, kaupade või muu vedu ühest kohast teise erinevate liiklusvahendite abil;4;
transport;Claude 3.7 Sonnet;inimeste, kaupade, materjalide vm liikumine või vedamine ühest kohast teise, kasutades selleks erinevaid liiklusvahendeid või -viise;3;
transport;Claude 3 Opus;inimeste, kaupade või loomade ühest kohast teise toimetamine selleks ettenähtud sõidukite abil;3;
transport;Gemini 1.5 Pro;ÜSi definitsioon - inimeste, kaupade või muu sellise ühest kohast teise viimine või toimetamine.;4;mainib ÜS-i
transs;EuroLLM-9b-instruct;Transs on seisund, kus inimene on piiratud teadvusega või täielikult teadvuse kaotanud. See võib olla põhjustatud mitmetest teguritest, nagu näiteks unetus, vaimne häire või muud põhjused. Kui inimesel on transis, ei pruugi ta reageerida välistele stiimulitele ja tema tegevus on piiratud. Transs on erinev seisund võrreldes tavalise une või teadvusekaotusega.;3;
transs;Llama-4-Maverick-17B-128E-Instruct;"teadvuseseisund, mida iseloomustab kõrgenenud vastuvõtlikkus sisendusele või oma tegevuse ja ümbruse suhtes vähese teadlikkusega sooritatavad toimingud; hüpnootiline uni või sellega sarnane seisund";2;
transs;Claude 3.7 Sonnet;"teadvuse muutunud seisund, milles inimene on eraldunud tavapärasest reaalsustajust, olles sügavalt keskendunud või mõjutatud välisest stiimulust (nt muusikast, rütmist, meditatsioonist); ka selline seisund, mille tekitab šamaan või meedium üleloomulike jõududega suhtlemiseks";3;
transs;GPT-4o;teadvuse seisund, kus inimene on sügavalt keskendunud, sageli välismaailmast eraldunud ja tavapärasest erinevas vaimses seisundis;4;
transs;GPT-4.1;Määramata definitsioon;1;
akne;Claude 3.7 Sonnet;naha rasunäärmete põletikuline haigus, mis avaldub näol, rinnal või seljal esinevate vistrike või punnilistena;3;
akne;Claude 3 Opus;naha rasunäärmete krooniline põletikuline haigus, mille korral tekivad näole, kaelale, seljale ja rinnale vistrikud, sõlmekesed või paised;4;
akne;Gmeini 2.0 Flash;peamiselt näo, selja ja rinna nahal esinevad põletikulised vistrikud ja punnid;4;
akne;o4-mini;naha haigus, mida iseloomustab rasunäärmete ummistumine ja põletik, põhjustades vistrike, komedoonide ja mädasõlmede teket;3;
aktiivsüsi;EuroLLM-9b-instruct;Aktiivsüsi on süsinikmaterjal, mis sisaldab suurt hulka poore. Neid auke kasutatakse adsorptsiooniks - protsessiks, mille käigus aine seob ennast aktiivsöega ja eemaldatakse keskkonnast. Aktiivsütt kasutatakse tavaliselt kahjulike ainete filtreerimiseks, näiteks toiduainetes või õhufiltrides. See on ka populaarne vahend toksiinide eemaldamiseks kehast ja seedetraktis.;3;
aktiivsüsi;Claude 3.7 Sonnet;poorne süsinikurikas materjal, mida kasutatakse mürgiste ainete või ebameeldivate lõhnade imamiseks, filtreerimiseks või puhastamiseks;4;
aktiivsüsi;Gemini 1.5 Pro;poorne süsiniku vorm, millel on suur pindala ja mis seetõttu suudab tõhusalt adsorbeerida gaase, vedelikke ja lahustunud aineid.;3;
aktsent;Gemini 2.5 Pro Preview;võõrkeele v murde mõjuline hääldusviis;3;
aktsent;GPT-4o;kõneviisile iseloomulik hääldus, mis viitab kõneleja keelelisele või piirkondlikule taustale, rõhuasetus sõnades või lausetes, mis võib eristada kõnelejat teistest keelekasutajatest.;3;
aktsent;GPT-4.1;Määramata definitsioon;1;
debatt;Claude 3.5 Sonnet;avalik arutelu või vaidlus kindlal teemal, kus eri seisukohti esindavad pooled esitavad oma argumente ja vastuargumente;4;
debatt;o4-mini;kahe või enama osapoole vahel toimuv argumenteeritud arutelu, kus vahetatakse ja põhjendatakse erinevaid seisukohti;4;
deegu;Claude 3.7 Sonnet;Tšiilist pärit väike näriline, kes on hallikas-pruunikat värvi, pika saba ja suurte kõrvadega ning keda peetakse lemmikloomana;3;
deegu;Gemini 2.5 Pro Preview;väike Tšiili päritolu näriline, keda sageli peetakse lemmikloomana;4;
deegu;o4-mini;poolvedel või pastataoline jahu- ja vedelikusegu, mida sõtkutakse ja vormitakse taignana erinevate pagari- ja kondiitritoodete valmistamiseks;1;
defekt;EuroLLM-9b-instruct;Defekt on viga või puudus, mis võib esineda materjalis, toote disainis või funktsioonis. See võib olla põhjustatud erinevatest teguritest, nagu näiteks tootmisprotsessi kõrvalekalded, kasutusvead või muud põhjused. Defekti saab tuvastada visuaalselt või spetsiaalsete testide abil. Sõltuvalt defekti raskusastmest ja tüübist võib seda parandada või asendada. Defektid võivad olla ohtlikud, kui need ei ole õigesti tuvastatud ja parandatud, näiteks tööstuslike seadmete või sõidukite puhul.;2;
defekt;Claude 3.7 Sonnet;ese, seade, toode vm, millel on puudus, viga või rike, mis takistab selle normaalset toimimist või kasutamist;1;
defekt;Claude 3 Opus;toote, detaili, materjali vms viga või puudus, mis takistab selle kasutamist ettenähtud otstarbel või vähendab selle töökindlust ja vastupidavust;3;
defekt;GPT-4.1;mingi eseme, seadme, organismi vms puudus, viga või kahjustus, mis takistab selle normaalset toimimist või vähendab väärtust;3;
defekt;o4-mini;eseme, seadme või muu objekti terviklikkuses või toimimises esinev viga või rike;4;
filosofeerima;Llama-4-Maverick-17B-128E-Instruct;sügavama mõtte või tähenduse otsimiseks või leidmiseks mõtlema, arutlema või vestlema, sageli abstraktselt või põhimõtteliselt.;4;
filosofeerima;Claude 3.7 Sonnet;mõtisklema, arutlema filosoofiliste küsimuste üle, püüdes jõuda sügavama arusaamani maailma, inimese või elu olemusest;3;
filosofeerima;Gmeini 2.0 Flash;mõtlema ja arutlema sügavate, üldiste küsimuste üle, eriti elu, teadmiste, moraali ja olemise kohta;4;
filosofeerima;GPT-4o;sügavamõtteliselt arutlema, mõtisklema elu, maailma või abstraktsete teemade üle, sageli teoreetilises või spekulatiivses võtmes;4;
filosofeerima;GPT-4.1;filosoofilisi mõtteid arendama või arutlema, abstraktseid ja üldisi küsimusi mõtisklevalt käsitlema;3;
filosofeerima;o3;abstraktselt ja teoreetiliselt arutlema ning mõtisklema eluküsimuste, maailma olemuse jms üle;2;
huligaan;Claude 3 Opus;ühiskondlikku korda rikkuv, teisi inimesi tülitav või neile kahju tekitav isik;4;
huligaan;Gemini 1.5 Pro;vägivaldne ja korrarikkumisele kalduv isik, kes tekitab avalikus kohas pahandusi ja häirib avalikku korda.;3;
huligaan;Gmeini 2.0 Flash;avalikku korda jämedalt rikkuv, teisi inimesi ähvardav ja kahjustav isik;4;
huligaan;GPT-4.1;inimene, kes käitub tahtlikult pahatahtlikult, häirivalt või vägivaldselt, rikub avalikku korda ja tekitab teistele kahju või ebamugavust;2;
huligaan;o3;avalikus kohas üldtunnustatud käitumisnorme rikkuv ja lärmi, vandaalitsemist või vägivalda põhjustav korrarikkuja;2;
kasutajaskond;Gmeini 2.0 Flash;mingit toodet, teenust, veebisaiti vms regulaarselt kasutavate inimeste kogum;4;
kasutajaskond;GPT-4o;inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi, moodustades selle tarbijaskonna või sihtrühma;3;
kasutajaskond;GPT-4.1;inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi;4;
kasutajaskond;o3;ühte ja sedasama toodet, teenust, süsteemi vms kasutavate inimeste kogum;4;
peoloom;Gemini 1.5 Pro;Seltskondlik ja lõbus inimene, kes naudib pidusid ja oskab luua head meeleolu.;4;
